"","class","tw","venue"
"101","field","Royal Challengers Bangalore","Sawai Mansingh Stadium"
"102","field","Deccan Chargers","Rajiv Gandhi International Stadium, Uppal"
"103","bat","Kolkata Knight Riders","Eden Gardens"
"104","field","Delhi Daredevils","M Chinnaswamy Stadium"
"105","field","Rajasthan Royals","Eden Gardens"
"106","field","Mumbai Indians","Wankhede Stadium"
"107","bat","Royal Challengers Bangalore","MA Chidambaram Stadium, Chepauk"
"108","field","Kings XI Punjab","Punjab Cricket Association Stadium, Mohali"
"109","field","Delhi Daredevils","Feroz Shah Kotla"
"110","bat","Rajasthan Royals","MA Chidambaram Stadium, Chepauk"
"111","field","Deccan Chargers","M Chinnaswamy Stadium"
"112","bat","Kings XI Punjab","Eden Gardens"
"113","field","Rajasthan Royals","Sawai Mansingh Stadium"
"114","bat","Deccan Chargers","Rajiv Gandhi International Stadium, Uppal"
"115","field","Delhi Daredevils","Wankhede Stadium"
"116","bat","Kings XI Punjab","Wankhede Stadium"
"117","field","Rajasthan Royals","Dr DY Patil Sports Academy"
"118","field","Chennai Super Kings","Newlands"
"119","bat","Royal Challengers Bangalore","Newlands"
"120","field","Delhi Daredevils","Newlands"
"121","bat","Kolkata Knight Riders","Newlands"
"122","bat","Chennai Super Kings","St George's Park"
"123","field","Kolkata Knight Riders","Kingsmead"
"124","bat","Deccan Chargers","Newlands"
"125","bat","Delhi Daredevils","Kingsmead"
"126","field","Kolkata Knight Riders","Newlands"
"127","bat","Royal Challengers Bangalore","Kingsmead"
"128","bat","Deccan Chargers","Kingsmead"
"129","bat","Royal Challengers Bangalore","St George's Park"
"130","bat","Kings XI Punjab","Newlands"
"131","field","Deccan Chargers","Kingsmead"
"132","bat","Mumbai Indians","St George's Park"
"133","bat","Delhi Daredevils","SuperSport Park"
"134","bat","Kolkata Knight Riders","Kingsmead"
"135","bat","Kings XI Punjab","Kingsmead"
"136","field","Delhi Daredevils","SuperSport Park"
"137","field","Rajasthan Royals","SuperSport Park"
"138","bat","Mumbai Indians","Buffalo Park"
"139","bat","Royal Challengers Bangalore","Kingsmead"
"140","bat","Deccan Chargers","St George's Park"
"141","field","Delhi Daredevils","New Wanderers Stadium"
"142","bat","Kolkata Knight Riders","St George's Park"
"143","bat","Mumbai Indians","New Wanderers Stadium"
"144","bat","Chennai Super Kings","Buffalo Park"
"145","field","Kings XI Punjab","Kingsmead"
"146","bat","Kolkata Knight Riders","Kingsmead"
"147","bat","Deccan Chargers","SuperSport Park"
"148","field","Rajasthan Royals","SuperSport Park"
"149","bat","Chennai Super Kings","SuperSport Park"
"150","bat","Mumbai Indians","Buffalo Park"
"151","field","Kings XI Punjab","De Beers Diamond Oval"
"152","bat","Rajasthan Royals","De Beers Diamond Oval"
"153","bat","Mumbai Indians","St George's Park"
"154","field","Delhi Daredevils","New Wanderers Stadium"
"155","bat","Deccan Chargers","De Beers Diamond Oval"
"156","field","Royal Challengers Bangalore","SuperSport Park"
"157","bat","Kings XI Punjab","SuperSport Park"
"158","field","Deccan Chargers","Kingsmead"
"159","bat","Chennai Super Kings","Kingsmead"
"160","bat","Rajasthan Royals","Kingsmead"
"161","field","Kings XI Punjab","OUTsurance Oval"
"162","bat","Mumbai Indians","St George's Park"
"163","field","Deccan Chargers","New Wanderers Stadium"
"164","field","Deccan Chargers","New Wanderers Stadium"
"165","bat","Delhi Daredevils","OUTsurance Oval"
"166","bat","Chennai Super Kings","SuperSport Park"
"167","bat","Delhi Daredevils","New Wanderers Stadium"
"168","field","Kolkata Knight Riders","Kingsmead"
"169","bat","Chennai Super Kings","Kingsmead"
"170","field","Delhi Daredevils","SuperSport Park"
"171","bat","Royal Challengers Bangalore","SuperSport Park"
"172","field","Deccan Chargers","SuperSport Park"
"173","field","Royal Challengers Bangalore","New Wanderers Stadium"
"174","field","Royal Challengers Bangalore","New Wanderers Stadium"
"175","field","Deccan Chargers","Dr DY Patil Sports Academy"
"176","bat","Mumbai Indians","Brabourne Stadium"
